customer_id,customer_name,gender,age,city,state,signup_date,acquisition_channel,customer_segment
C100087,Rohan Patel,Female,23.0,Delhi,Delhi,2024-08-16,YouTube,Basic
C100088,Arjun Singh,Male,56.0,Chennai,Tamil Nadu,2025-07-14,Instagram,Standard
C100089,Aarav Varma,Female,35.0,Mumbai,Maharashtra,2025-08-30,Google Ads,Basic
C100090,Rohan Varma,Female,58.0,Bengaluru,Karnataka,2024-11-13,Referral,Premium
C100091,Rohan Kumar,Male,47.0,Kakinada,Andhra Pradesh,2025-08-10,Instagram,Standard
C100092,Arjun Kumar,Male,53.0,Pune,Maharashtra,2025-09-06,Google Ads,Standard
C100093,Rohan Reddy,Female,58.0,Mumbai,Maharashtra,2024-10-09,Instagram,Standard
C100094,Vihaan Singh,Female,60.0,Visakhapatnam,Andhra Pradesh,2025-10-17,Organic Search,Standard
C100095,Arjun Naidu,Female,24.0,Visakhapatnam,Andhra Pradesh,2024-07-29,Organic Search,Premium
C100096,Rohan Rao,Male,52.0,Kakinada,Andhra Pradesh,2024-06-23,Email,Standard
C100097,Meera Patel,Female,24.0,Bengaluru,Karnataka,2025-05-13,Google Ads,Standard
C100098,Rahul Varma,Male,63.0,Kolkata,West Bengal,2025-04-09,Google Ads,Standard
C100099,Meera Patel,Male,48.0,Kakinada,Andhra Pradesh,2024-04-12,Organic Search,Standard
C100100,Meera Gupta,Female,27.0,Visakhapatnam,Andhra Pradesh,2025-08-30,Referral,Basic
C100101,Sanjay Reddy,Female,32.0,Mumbai,Maharashtra,2024-05-25,Referral,Premium
C100102,Sai Gupta,Female,60.0,Visakhapatnam,Andhra Pradesh,2025-08-10,Instagram,Standard
C100103,Priya Gupta,Female,48.0,Chennai,Tamil Nadu,2024-01-06,Instagram,Basic
C100104,Sneha Das,Female,29.0,Chennai,Tamil Nadu,2025-08-04,Google Ads,Premium
C100105,Vihaan Reddy,Male,57.0,Pune,Maharashtra,2025-07-28,Email,Standard
C100106,Vihaan Gupta,Male,52.0,Ahmedabad,Gujarat,2025-07-23,Organic Search,Standard
C100107,Ananya Reddy,Female,21.0,Bengaluru,Karnataka,2025-04-30,YouTube,Standard
C100108,Rohan Patel,Female,31.0,Pune,Maharashtra,2024-12-10,Google Ads,Basic
C100109,Sanjay Naidu,Male,58.0,Visakhapatnam,Andhra Pradesh,2025-05-29,Google Ads,Standard
C100110,Divya Sharma,Male,34.0,Pune,Maharashtra,2024-07-21,Organic Search,Standard
C100111,Sneha Sharma,Male,19.0,Mumbai,Maharashtra,2025-07-23,Google Ads,Standard
C100112,Aditya Das,Male,46.0,Hyderabad,Telangana,2025-02-09,Referral,Premium
C100113,Rohan Reddy,Female,61.0,Pune,Maharashtra,2024-12-01,Email,Standard
C100114,Divya Naidu,Male,44.0,Ahmedabad,Gujarat,2025-01-04,Google Ads,Premium
C100115,Sai Kumar,Male,64.0,Pune,Maharashtra,2025-02-19,Google Ads,Basic
C100116,Aarav Reddy,Female,23.0,Kakinada,Andhra Pradesh,2024-01-28,Google Ads,Premium
C100117,Rohan Sharma,Female,50.0,Kolkata,West Bengal,2024-04-12,Referral,Premium
C100118,Sneha Das,Male,49.0,Pune,Maharashtra,2024-06-28,Google Ads,Basic
C100119,Meera Patel,Male,65.0,Hyderabad,Telangana,2024-03-24,Instagram,Premium
C100120,Kavya Kumar,Male,43.0,Pune,Maharashtra,2024-11-16,Instagram,Standard
C100121,Kiran Gupta,Male,57.0,Bengaluru,Karnataka,2025-05-02,Organic Search,Basic
C100122,Aarav Gupta,Male,24.0,Ahmedabad,Gujarat,2025-04-22,Organic Search,Basic
C100123,Aditya Das,Male,20.0,Bengaluru,Karnataka,2024-12-09,YouTube,Standard
C100124,Nikhil Gupta,Male,52.0,Kakinada,Andhra Pradesh,2025-09-16,Organic Search,Standard
C100125,Meera Sharma,Male,18.0,Delhi,Delhi,2025-02-16,Instagram,Standard
C100126,Sanjay Rao,Male,59.0,Chennai,Tamil Nadu,2024-02-27,Instagram,Standard
C100127,Sanjay Kumar,Female,18.0,Bengaluru,Karnataka,2025-07-12,Referral,Premium
C100128,Vihaan Singh,Male,51.0,Mumbai,Maharashtra,2025-02-23,Referral,Premium
C100129,Vihaan Kumar,Male,39.0,Kakinada,Andhra Pradesh,2025-04-08,Organic Search,Basic
C100130,Meera Naidu,Female,48.0,Mumbai,Maharashtra,2025-02-16,Google Ads,Standard
C100131,Kiran Kumar,Male,47.0,Pune,Maharashtra,2025-02-08,YouTube,Basic
C100132,Arjun Sharma,Male,39.0,Kakinada,Andhra Pradesh,2024-03-07,Google Ads,Premium
C100133,Arjun Varma,Female,41.0,Kolkata,West Bengal,2025-02-12,Referral,Standard
C100134,Arjun Patel,Female,42.0,Hyderabad,Telangana,2025-08-03,Organic Search,Standard
C100135,Kavya Reddy,Male,50.0,Delhi,Delhi,2024-08-09,Referral,Standard
C100136,Rohan Varma,Female,52.0,Delhi,Delhi,2025-03-16,Organic Search,Standard
C100137,Vihaan Varma,Female,39.0,Mumbai,Maharashtra,2024-01-23,Organic Search,Premium
C100138,Arjun Gupta,Male,34.0,Mumbai,Maharashtra,2024-09-10,Organic Search,Basic
C100139,Ananya Rao,Male,20.0,Pune,Maharashtra,2024-11-14,Organic Search,Standard
C100140,Sanjay Singh,Male,55.0,Delhi,Delhi,2025-12-18,Google Ads,Standard
C100141,Rohan Rao,Female,28.0,Mumbai,Maharashtra,2024-06-05,Google Ads,Standard
C100142,Kavya Sharma,Male,38.0,Chennai,Tamil Nadu,2024-07-20,Organic Search,Basic
C100143,Nikhil Das,Male,65.0,Delhi,Delhi,2024-10-25,Referral,Standard
C100144,Ananya Reddy,Female,55.0,Mumbai,Maharashtra,2025-12-25,Email,Standard
C100145,Aarav Das,Female,34.0,Chennai,Tamil Nadu,2025-09-14,Google Ads,Basic
C100146,Sai Reddy,Male,40.0,Kakinada,Andhra Pradesh,2024-01-26,Instagram,Premium
C100147,Sanjay Naidu,Male,33.0,Pune,Maharashtra,2024-06-19,Google Ads,Standard
C100148,Aditya Sharma,Male,48.0,Pune,Maharashtra,2025-08-22,YouTube,Standard
C100149,Priya Reddy,Female,25.0,Kakinada,Andhra Pradesh,2024-02-12,Google Ads,Standard
C100150,Rohan Singh,Male,63.0,Kolkata,West Bengal,2025-09-16,Google Ads,Standard
C100151,Nikhil Sharma,Female,65.0,Mumbai,Maharashtra,2024-07-24,Instagram,Premium
C100152,Divya Naidu,Male,32.0,Delhi,Delhi,2025-10-31,Referral,Basic
C100153,Nikhil Varma,Male,29.0,Chennai,Tamil Nadu,2024-08-02,Google Ads,Standard
C100154,Aarav Naidu,Male,43.0,Chennai,Tamil Nadu,2024-11-13,Email,Standard
C100155,Nikhil Reddy,Male,49.0,Bengaluru,Karnataka,2025-04-28,Instagram,Standard
C100156,Rahul Rao,Male,48.0,Bengaluru,Karnataka,2024-04-02,Google Ads,Standard
C100157,Sai Reddy,Female,20.0,Delhi,Delhi,2025-02-10,Instagram,Premium
C100158,Rahul Rao,Male,52.0,Kakinada,Andhra Pradesh,2025-01-03,Instagram,Standard
C100159,Nikhil Varma,Female,21.0,Ahmedabad,Gujarat,2025-07-26,Organic Search,Basic
C100160,Sanjay Singh,Male,34.0,Visakhapatnam,Andhra Pradesh,2025-12-28,YouTube,Standard
C100161,Sanjay Rao,Female,52.0,Bengaluru,Karnataka,2025-04-29,Organic Search,Basic
C100162,Meera Rao,Male,60.0,Chennai,Tamil Nadu,2024-10-25,Organic Search,Standard
C100163,Vihaan Reddy,Female,48.0,Pune,Maharashtra,2024-10-23,Instagram,Premium
C100164,Sneha Rao,Male,25.0,Chennai,Tamil Nadu,2024-11-01,Organic Search,Standard
C100165,Vihaan Kumar,Female,50.0,Chennai,Tamil Nadu,2025-08-17,Referral,Standard
C100166,Ananya Sharma,Female,19.0,Delhi,Delhi,2024-08-22,Organic Search,Basic
C100167,Aditya Sharma,Female,29.0,Hyderabad,Telangana,2024-05-01,Email,Standard
C100168,Divya Naidu,Female,23.0,Visakhapatnam,Andhra Pradesh,2024-09-01,Google Ads,Premium
C100169,Sneha Naidu,Male,65.0,Kakinada,Andhra Pradesh,2024-01-17,Google Ads,Premium
C100170,Aarav Reddy,Female,35.0,Hyderabad,Telangana,2024-03-18,Instagram,Standard
C100171,Arjun Sharma,Male,44.0,Chennai,Tamil Nadu,2024-03-06,Google Ads,Standard
C100172,Vihaan Singh,Female,55.0,Pune,Maharashtra,2025-07-17,Referral,Basic
C100173,Rahul Gupta,Male,64.0,Ahmedabad,Gujarat,2025-06-11,YouTube,Basic
C100174,Rahul Kumar,Male,65.0,Kakinada,Andhra Pradesh,2025-05-23,Instagram,Basic
C100175,Nikhil Singh,Female,25.0,Chennai,Tamil Nadu,2024-12-03,Referral,Standard
C100176,Vihaan Singh,Male,36.0,Ahmedabad,Gujarat,2025-06-07,Referral,Premium
C100177,Sanjay Patel,Female,37.0,Kakinada,Andhra Pradesh,2024-04-27,Instagram,Standard
C100178,Sai Singh,Male,56.0,Visakhapatnam,Andhra Pradesh,2025-10-19,Google Ads,Premium
C100179,Sneha Varma,Female,34.0,Mumbai,Maharashtra,2024-12-31,Google Ads,Premium
C100180,Rahul Patel,Female,29.0,Visakhapatnam,Andhra Pradesh,2025-11-15,Referral,Standard
C100181,Kiran Sharma,Female,54.0,Chennai,Tamil Nadu,2024-04-21,Google Ads,Basic
C100182,Sneha Kumar,Male,41.0,Hyderabad,Telangana,2024-12-29,Instagram,Standard
C100183,Kiran Singh,Male,53.0,Ahmedabad,Gujarat,2025-05-23,Google Ads,Premium
C100184,Sneha Patel,Male,36.0,Visakhapatnam,Andhra Pradesh,2024-12-27,Organic Search,Basic
C100185,Aditya Sharma,Male,41.0,Delhi,Delhi,2024-11-21,Organic Search,Basic
C100186,Sai Gupta,Female,18.0,Chennai,Tamil Nadu,2024-05-01,Instagram,Standard
C100187,Vihaan Das,Male,18.0,Delhi,Delhi,2024-10-05,Email,Premium
C100188,Rohan Patel,Male,18.0,Bengaluru,Karnataka,2024-06-23,YouTube,Standard
C100189,Divya Singh,Male,26.0,Kakinada,Andhra Pradesh,2024-08-08,Instagram,Standard
C100190,Nikhil Patel,Female,34.0,Hyderabad,Telangana,2025-05-14,Instagram,Standard
C100191,Rohan Kumar,Male,20.0,Pune,Maharashtra,2025-04-05,Instagram,Standard
C100192,Sanjay Gupta,Male,25.0,Hyderabad,Telangana,2025-03-19,Instagram,Standard
C100193,Ananya Rao,Male,58.0,Kolkata,West Bengal,2024-09-21,Organic Search,Standard
C100194,Arjun Rao,Male,59.0,Kakinada,Andhra Pradesh,2025-12-01,Organic Search,Standard
C100195,Priya Naidu,Female,31.0,Kolkata,West Bengal,2024-03-04,Referral,Basic
C100196,Kavya Naidu,Male,63.0,Kolkata,West Bengal,2024-09-07,Google Ads,Premium
C100197,Ananya Kumar,Female,23.0,Visakhapatnam,Andhra Pradesh,2024-03-27,Organic Search,Standard
C100198,Sai Rao,Female,19.0,Kakinada,Andhra Pradesh,2024-09-04,Instagram,Basic
C100199,Kiran Varma,Female,35.0,Visakhapatnam,Andhra Pradesh,2025-12-03,Instagram,Standard
C100200,Aditya Kumar,Female,30.0,Mumbai,Maharashtra,2024-09-24,Instagram,Standard
C100201,Sai Varma,Female,21.0,Pune,Maharashtra,2025-10-25,Organic Search,Standard
C100202,Sneha Singh,Male,58.0,Visakhapatnam,Andhra Pradesh,2024-12-27,Email,Basic
C100203,Ananya Gupta,Male,64.0,Mumbai,Maharashtra,2025-05-25,Email,Basic
C100204,Sai Gupta,Female,30.0,Kolkata,West Bengal,2024-11-29,Organic Search,Premium
C100205,Sanjay Rao,Female,33.0,Hyderabad,Telangana,2024-07-13,Instagram,Premium
C100206,Vihaan Gupta,Female,52.0,Visakhapatnam,Andhra Pradesh,2025-07-11,Google Ads,Premium
C100207,Aarav Naidu,Male,62.0,Kolkata,West Bengal,2025-12-08,Organic Search,Premium
C100208,Sanjay Singh,Male,31.0,Ahmedabad,Gujarat,2024-07-11,YouTube,Standard
C100209,Sneha Reddy,Male,50.0,Visakhapatnam,Andhra Pradesh,2025-07-22,Referral,Standard
C100210,Ananya Varma,Male,19.0,Mumbai,Maharashtra,2024-07-09,Instagram,Standard
C100211,Ananya Reddy,Male,45.0,Chennai,Tamil Nadu,2025-06-07,YouTube,Standard
C100212,Nikhil Naidu,Male,65.0,Visakhapatnam,Andhra Pradesh,2025-07-29,Google Ads,Standard
C100213,Nikhil Gupta,Female,40.0,Bengaluru,Karnataka,2024-11-24,Google Ads,Premium
C100214,Ananya Gupta,Female,48.0,Visakhapatnam,Andhra Pradesh,2025-06-21,Instagram,Standard
C100215,Nikhil Naidu,Female,50.0,Mumbai,Maharashtra,2024-07-17,Instagram,Premium
C100216,Rahul Patel,Female,48.0,Pune,Maharashtra,2024-02-27,Email,Basic
C100217,Sneha Gupta,Male,50.0,Pune,Maharashtra,2024-03-11,Email,Standard
C100218,Kiran Varma,Male,60.0,Kolkata,West Bengal,2024-11-22,Google Ads,Premium
C100219,Nikhil Gupta,Female,18.0,Visakhapatnam,Andhra Pradesh,2025-10-20,Instagram,Premium
C100220,Aarav Rao,Female,60.0,Delhi,Delhi,2024-04-03,Referral,Standard
C100221,Nikhil Patel,Female,61.0,Bengaluru,Karnataka,2024-11-28,Google Ads,Standard
C100222,Sneha Varma,Female,61.0,Chennai,Tamil Nadu,2025-05-28,Google Ads,Basic
C100223,Ananya Das,Female,35.0,Kolkata,West Bengal,2024-05-27,Instagram,Standard
C100224,Divya Das,Female,45.0,Ahmedabad,Gujarat,2025-06-10,Organic Search,Premium
C100225,Sanjay Naidu,Female,34.0,Ahmedabad,Gujarat,2024-08-11,YouTube,Basic
C100226,Meera Sharma,Female,58.0,Delhi,Delhi,2025-08-13,Google Ads,Standard
C100227,Arjun Rao,Male,37.0,Kakinada,Andhra Pradesh,2025-02-26,Email,Standard
C100228,Ananya Reddy,Male,33.0,Hyderabad,Telangana,2025-02-03,Organic Search,Basic
C100229,Rohan Rao,Male,50.0,Bengaluru,Karnataka,2024-05-09,Instagram,Standard
C100230,Rohan Patel,Female,20.0,Hyderabad,Telangana,2024-12-04,YouTube,Standard
C100231,Rahul Kumar,Female,36.0,Kakinada,Andhra Pradesh,2025-09-17,Referral,Basic
C100232,Vihaan Patel,Male,27.0,Bengaluru,Karnataka,2024-01-15,Referral,Standard
C100233,Meera Varma,Male,35.0,Kolkata,West Bengal,2025-07-07,Referral,Premium
C100234,Arjun Das,Female,39.0,Visakhapatnam,Andhra Pradesh,2024-12-25,Google Ads,Standard
C100235,Sneha Varma,Male,21.0,Ahmedabad,Gujarat,2025-06-09,Organic Search,Premium
C100236,Sanjay Gupta,Female,59.0,Kakinada,Andhra Pradesh,2025-04-29,Organic Search,Standard
C100237,Meera Gupta,Male,37.0,Hyderabad,Telangana,2024-11-11,Instagram,Basic
C100238,Rohan Sharma,Male,35.0,Chennai,Tamil Nadu,2024-08-13,Referral,Basic
C100239,Aarav Reddy,Male,25.0,Pune,Maharashtra,2025-04-02,YouTube,Standard
C100240,Sneha Patel,Male,65.0,Kolkata,West Bengal,2024-04-12,Organic Search,Basic
C100241,Kiran Naidu,Male,59.0,Kolkata,West Bengal,2025-03-02,Email,Standard
C100242,Divya Kumar,Male,41.0,Pune,Maharashtra,2024-03-10,Instagram,Standard
C100243,Rohan Reddy,Male,34.0,Delhi,Delhi,2025-04-19,Google Ads,Premium
C100244,Divya Sharma,Male,40.0,Bengaluru,Karnataka,2025-04-03,Instagram,Standard
C100245,Divya Naidu,Female,64.0,Chennai,Tamil Nadu,2024-03-02,Organic Search,Standard
C100246,Ananya Das,Male,28.0,Mumbai,Maharashtra,2025-07-06,Organic Search,Premium
C100247,Sneha Naidu,Male,50.0,Pune,Maharashtra,2024-10-30,YouTube,Basic
C100248,Divya Sharma,Male,61.0,Ahmedabad,Gujarat,2025-07-28,Instagram,Premium
C100249,Meera Das,Female,54.0,Pune,Maharashtra,2024-01-31,YouTube,Standard
C100250,Aditya Patel,Female,59.0,Pune,Maharashtra,2024-05-11,YouTube,Premium
C100251,Aditya Naidu,Other,63.0,Hyderabad,Telangana,2024-12-26,Email,Standard
C100252,Meera Patel,Female,20.0,Kolkata,West Bengal,2024-05-17,Organic Search,Standard
C100253,Aditya Das,Male,29.0,Chennai,Tamil Nadu,2024-08-28,Google Ads,Standard
C100254,Arjun Rao,Female,24.0,Bengaluru,Karnataka,2025-04-27,Google Ads,Premium
C100255,Rohan Rao,Male,45.0,Mumbai,Maharashtra,2024-04-15,Instagram,Standard
C100256,Ananya Singh,Female,37.0,Ahmedabad,Gujarat,2025-05-09,Instagram,Standard
C100257,Arjun Sharma,Male,19.0,Kakinada,Andhra Pradesh,2024-03-16,Instagram,Standard
C100258,Rahul Patel,Male,44.0,Pune,Maharashtra,2024-05-07,Email,Standard
C100259,Kavya Sharma,Female,22.0,Kakinada,Andhra Pradesh,2025-03-04,Google Ads,Premium
C100260,Sanjay Reddy,Female,37.0,Bengaluru,Karnataka,2025-08-02,Instagram,Standard
C100261,Sneha Gupta,Female,35.0,Mumbai,Maharashtra,2024-05-04,Instagram,Basic
C100262,Ananya Naidu,Male,60.0,Kakinada,Andhra Pradesh,2024-08-06,Email,Premium
C100263,Divya Gupta,Male,50.0,Bengaluru,Karnataka,2025-11-06,YouTube,Standard
C100264,Vihaan Patel,Male,,Kolkata,West Bengal,2025-12-23,Google Ads,Standard
C100265,Sneha Gupta,Male,57.0,Mumbai,Maharashtra,2025-02-28,Organic Search,Basic
C100266,Aarav Varma,Male,26.0,Delhi,Delhi,2024-11-22,YouTube,Premium
C100267,Kavya Das,Male,30.0,Chennai,Tamil Nadu,2024-09-10,Email,Standard
C100268,Aarav Singh,Female,54.0,Delhi,Delhi,2025-03-23,Organic Search,Standard
C100269,Nikhil Gupta,Male,53.0,Visakhapatnam,Andhra Pradesh,2025-03-07,Email,Premium
C100270,Sneha Naidu,Female,19.0,Kakinada,Andhra Pradesh,2024-08-03,YouTube,Premium
C100271,Rohan Das,Female,28.0,Pune,Maharashtra,2024-01-17,Google Ads,Basic
C100272,Rohan Rao,Female,28.0,Pune,Maharashtra,2024-04-20,Organic Search,Standard
C100273,Sneha Das,Male,18.0,Hyderabad,Telangana,2025-11-30,Google Ads,Premium
C100274,Aarav Gupta,Male,49.0,Mumbai,Maharashtra,2024-11-01,Instagram,Standard
C100275,Ananya Gupta,Male,20.0,Hyderabad,Telangana,2024-12-18,Organic Search,Standard
C100276,Kiran Das,Female,58.0,Visakhapatnam,Andhra Pradesh,2024-12-06,Organic Search,Premium
C100277,Rahul Varma,Male,46.0,Mumbai,Maharashtra,2025-07-25,Organic Search,Standard
C100278,Aarav Gupta,Male,54.0,Delhi,Delhi,2024-02-17,YouTube,Standard
C100279,Aarav Reddy,Other,41.0,Visakhapatnam,Andhra Pradesh,2024-03-01,Organic Search,Standard
C100280,Sneha Sharma,Female,64.0,Ahmedabad,Gujarat,2024-07-20,Referral,Standard
C100281,Divya Sharma,Female,30.0,Kolkata,West Bengal,2024-12-21,YouTube,Premium
C100282,Vihaan Rao,Male,44.0,Hyderabad,Telangana,2025-05-04,Instagram,Standard
C100283,Kavya Singh,Female,18.0,Pune,Maharashtra,2024-12-24,Instagram,Standard
